trial,outcome,path_length_m,time_to_target_s,replan_events,failure_mode,efficiency_pct,log_file
1,FAIL,0.0,10.03,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
2,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
3,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
4,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
5,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
6,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
7,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
8,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
9,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
10,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
11,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
12,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
13,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
14,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
15,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
16,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
17,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
18,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
19,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
20,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_233103.csv
FINAL,-,-,-,-,-,0.0,exp4_maze_20260401_233103.csv
1,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_234626.csv
2,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_234626.csv
3,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_234626.csv
4,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_234626.csv
5,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_234626.csv
6,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_234626.csv
7,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260401_234626.csv
1,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173352.csv
2,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173352.csv
3,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173352.csv
4,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173352.csv
5,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173352.csv
6,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173352.csv
1,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173530.csv
2,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173530.csv
3,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173530.csv
4,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173530.csv
5,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173530.csv
6,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173530.csv
7,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173530.csv
8,FAIL,0.0,10.0,0,goal_rejected,0.0,exp4_maze_20260403_173530.csv
1,FAIL,0.445,41.64,22,nav2_status_6,0.0,exp4_maze_20260403_173726.csv
2,FAIL,1.0827,21.98,0,nav2_status_6,0.0,exp4_maze_20260403_173726.csv
3,FAIL,0.7084,51.18,20,nav2_status_6,0.0,exp4_maze_20260403_173726.csv
4,FAIL,0.8256,99.82,81,nav2_status_6,0.0,exp4_maze_20260403_173726.csv
5,FAIL,0.6785,30.98,0,nav2_status_6,0.0,exp4_maze_20260403_173726.csv
6,FAIL,0.8917,22.0,0,nav2_status_6,0.0,exp4_maze_20260403_173726.csv
7,FAIL,0.2899,69.99,40,nav2_status_6,0.0,exp4_maze_20260403_173726.csv
8,FAIL,0.5304,22.0,0,nav2_status_6,0.0,exp4_maze_20260403_173726.csv
9,FAIL,0.1876,86.17,60,nav2_status_6,0.0,exp4_maze_20260403_173726.csv
10,FAIL,0.6989,45.8,20,nav2_status_6,0.0,exp4_maze_20260403_173726.csv
11,FAIL,0.4424,26.99,0,nav2_status_6,0.0,exp4_maze_20260403_173726.csv
12,FAIL,0.3969,65.0,40,nav2_status_6,0.0,exp4_maze_20260403_173726.csv
13,FAIL,0.2745,32.95,16,obstacle_abort,0.0,exp4_maze_20260403_173726.csv
14,FAIL,0.0,0.01,0,obstacle_abort,0.0,exp4_maze_20260403_173726.csv
15,FAIL,0.0,0.01,0,obstacle_abort,0.0,exp4_maze_20260403_173726.csv
16,FAIL,0.0,0.01,0,obstacle_abort,0.0,exp4_maze_20260403_173726.csv
17,FAIL,0.0,0.01,0,obstacle_abort,0.0,exp4_maze_20260403_173726.csv
18,FAIL,0.0,0.01,0,obstacle_abort,0.0,exp4_maze_20260403_173726.csv
19,FAIL,0.0,0.01,0,obstacle_abort,0.0,exp4_maze_20260403_173726.csv
20,FAIL,0.0,0.01,0,obstacle_abort,0.0,exp4_maze_20260403_173726.csv
FINAL,-,-,-,-,-,0.0,exp4_maze_20260403_173726.csv
1,FAIL,0.5816,21.08,0,nav2_status_6,0.0,exp4_maze_20260403_180628.csv
2,FAIL,0.2057,18.76,1,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
3,FAIL,0.17,8.35,9,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
4,FAIL,0.0592,11.3,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
5,FAIL,0.0,2.51,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
6,FAIL,0.0,4.38,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
7,FAIL,0.0,2.51,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
8,FAIL,0.0351,8.72,1,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
9,FAIL,0.5144,31.15,5,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
10,FAIL,0.0,2.52,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
11,FAIL,0.0,2.51,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
12,FAIL,0.1567,2.52,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
13,FAIL,0.0,2.52,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
14,FAIL,0.0863,2.51,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
15,FAIL,0.0,2.52,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
16,FAIL,0.133,2.52,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
17,FAIL,0.0,2.51,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
18,FAIL,0.2781,2.52,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
19,FAIL,0.0,2.52,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
20,FAIL,0.1283,2.51,0,obstacle_abort,0.0,exp4_maze_20260403_180628.csv
FINAL,-,-,-,-,-,0.0,exp4_maze_20260403_180628.csv
1,FAIL,0.0,2.51,0,obstacle_abort,0.0,exp4_maze_20260405_155334.csv
2,FAIL,0.0,2.51,0,obstacle_abort,0.0,exp4_maze_20260405_155334.csv
3,FAIL,0.0,2.52,0,obstacle_abort,0.0,exp4_maze_20260405_155334.csv
4,FAIL,0.0,2.51,0,obstacle_abort,0.0,exp4_maze_20260405_155334.csv
5,FAIL,0.0,2.52,0,obstacle_abort,0.0,exp4_maze_20260405_155334.csv
6,FAIL,0.0,2.52,0,obstacle_abort,0.0,exp4_maze_20260405_155334.csv
7,FAIL,0.0,2.52,0,obstacle_abort,0.0,exp4_maze_20260405_155334.csv
8,FAIL,0.0,2.51,0,obstacle_abort,0.0,exp4_maze_20260405_155334.csv
9,FAIL,0.0,2.51,0,obstacle_abort,0.0,exp4_maze_20260405_155334.csv
10,FAIL,0.0,2.51,0,obstacle_abort,0.0,exp4_maze_20260405_155334.csv
11,FAIL,0.0,2.52,0,obstacle_abort,0.0,exp4_maze_20260405_155334.csv
12,FAIL,0.0,2.52,0,obstacle_abort,0.0,exp4_maze_20260405_155334.csv
1,FAIL,0.6001,30.6,0,nav2_status_6,0.0,exp4_maze_20260405_155647.csv
2,FAIL,0.1419,29.99,0,nav2_status_6,0.0,exp4_maze_20260405_155647.csv
1,FAIL,0.3238,27.47,0,nav2_status_6,0.0,exp4_maze_20260405_160009.csv
2,FAIL,0.3176,32.0,0,nav2_status_6,0.0,exp4_maze_20260405_160009.csv
3,FAIL,0.3715,30.99,0,nav2_status_6,0.0,exp4_maze_20260405_160009.csv
4,FAIL,0.0782,28.98,0,nav2_status_6,0.0,exp4_maze_20260405_160009.csv
1,FAIL,0.3224,7.93,1,nav2_status_6,0.0,exp4_maze_20260405_160523.csv
2,FAIL,0.1344,1.62,1,nav2_status_6,0.0,exp4_maze_20260405_160523.csv
3,FAIL,0.3251,22.71,1,nav2_status_6,0.0,exp4_maze_20260405_160523.csv
4,FAIL,0.0239,0.05,1,nav2_status_6,0.0,exp4_maze_20260405_160523.csv
5,FAIL,0.9434,34.2,0,nav2_status_6,0.0,exp4_maze_20260405_160523.csv
6,FAIL,1.0653,28.99,0,nav2_status_6,0.0,exp4_maze_20260405_160523.csv
7,FAIL,1.4049,22.0,0,nav2_status_6,0.0,exp4_maze_20260405_160523.csv
8,FAIL,1.5381,31.99,0,nav2_status_6,0.0,exp4_maze_20260405_160523.csv
9,FAIL,1.5544,35.0,0,nav2_status_6,0.0,exp4_maze_20260405_160523.csv
1,FAIL,1.2359,23.97,1,nav2_status_6,0.0,exp4_maze_20260405_161512.csv
2,FAIL,0.2237,19.06,1,nav2_status_6,0.0,exp4_maze_20260405_161512.csv
3,FAIL,0.2331,21.04,2,nav2_status_6,0.0,exp4_maze_20260405_161512.csv
1,FAIL,1.0,34.08,11,nav2_status_6,0.0,exp4_maze_20260405_162146.csv
2,FAIL,0.8629,27.99,1,nav2_status_6,0.0,exp4_maze_20260405_162146.csv
1,FAIL,1.0668,21.14,0,nav2_status_6,0.0,exp4_maze_20260405_162748.csv
2,FAIL,2.1072,31.0,0,nav2_status_6,0.0,exp4_maze_20260405_162748.csv
3,FAIL,1.4583,22.0,0,nav2_status_6,0.0,exp4_maze_20260405_162748.csv
4,FAIL,1.7368,31.0,0,nav2_status_6,0.0,exp4_maze_20260405_162748.csv
1,FAIL,0.0,120.03,0,timeout,0.0,exp4_maze_20260405_163845.csv
1,FAIL,0.0,120.01,0,timeout,0.0,exp4_maze_20260405_165012.csv
1,FAIL,1.0603,21.69,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
2,FAIL,0.716,22.99,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
3,FAIL,0.753,21.99,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
4,FAIL,0.8414,22.0,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
5,FAIL,1.157,24.99,2,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
6,FAIL,0.9641,26.99,3,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
7,FAIL,1.9591,27.99,2,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
8,FAIL,2.4857,26.0,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
9,FAIL,1.0833,24.99,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
10,FAIL,2.5895,25.0,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
11,FAIL,1.2954,24.99,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
12,FAIL,1.0743,25.99,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
13,FAIL,1.2866,24.99,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
14,FAIL,0.8544,25.0,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
15,FAIL,0.7508,24.99,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
16,FAIL,0.7559,26.0,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
17,FAIL,0.6146,25.0,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
18,FAIL,1.7311,24.99,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
19,FAIL,1.8821,24.98,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
20,FAIL,2.0337,28.0,0,nav2_status_6,0.0,exp4_maze_20260405_170722.csv
FINAL,-,-,-,-,-,0.0,exp4_maze_20260405_170722.csv
1,FAIL,1.0493,27.16,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
2,FAIL,1.1454,28.99,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
3,FAIL,1.3531,30.0,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
4,FAIL,3.156,24.99,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
5,FAIL,2.7466,25.99,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
6,FAIL,1.386,33.98,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
7,FAIL,0.901,30.99,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
8,FAIL,2.2962,27.99,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
9,FAIL,2.663,29.99,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
10,FAIL,1.5244,26.99,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
11,FAIL,1.2221,27.0,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
12,FAIL,1.1141,28.98,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
13,FAIL,2.2283,26.0,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
14,FAIL,5.0373,35.0,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
15,FAIL,3.7535,33.99,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
16,FAIL,4.4015,28.09,1,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
17,FAIL,2.551,29.9,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
18,FAIL,3.1036,29.0,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
19,FAIL,1.5467,22.99,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
20,FAIL,2.4031,23.0,0,nav2_status_6,0.0,exp4_maze_20260405_173049.csv
FINAL,-,-,-,-,-,0.0,exp4_maze_20260405_173049.csv
1,FAIL,0.0,120.01,0,timeout,0.0,exp4_maze_20260405_174834.csv
2,FAIL,0.0,120.04,0,timeout,0.0,exp4_maze_20260405_174834.csv
3,FAIL,0.0,120.05,0,timeout,0.0,exp4_maze_20260405_174834.csv
FINAL,-,-,-,-,-,0.0,exp4_maze_20260405_174834.csv
1,FAIL,1.0989,27.81,5,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
2,FAIL,1.5462,33.98,2,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
3,FAIL,0.5981,24.0,1,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
4,FAIL,4.2406,25.99,1,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
5,FAIL,6.1874,24.98,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
6,FAIL,1.288,24.99,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
7,FAIL,1.1175,25.0,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
8,FAIL,1.411,24.99,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
9,FAIL,1.0536,25.0,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
10,FAIL,1.1698,25.0,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
11,FAIL,0.9709,25.99,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
12,FAIL,0.8814,25.0,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
13,FAIL,1.1913,25.99,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
14,FAIL,1.2651,26.0,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
15,FAIL,0.9727,24.99,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
16,FAIL,0.9352,26.0,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
17,FAIL,2.2284,24.99,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
18,FAIL,1.8846,25.0,0,nav2_status_6,0.0,exp4_maze_20260405_180853.csv
