[INFO] [1776188075.456649688] [exp6_cnn_detection]: Experiment 6 — CNN Target Recognition starting ...
[WARN] [1776188075.457566671] [exp6_cnn_detection]: TensorRT engine not found at /home/jetson/models/formica_target_det.trt. Using HSV colour-blob fallback.
[INFO] [1776188078.793561963] [exp6_cnn_detection]: 
  Condition: normal  Class: red_cube
[INFO] [1776188078.794310909] [exp6_cnn_detection]:     Set up red_cube at 0.5 m under "normal" lighting. Press Enter ...
[DataLogger] Writing to /home/jetson/formica_experiments/data/exp6_cnn_20260414_173435.csv
[WARN] [1776188084.318645973] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188089.340853241] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188094.362731363] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188099.383900808] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188104.408517901] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188109.429553376] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188114.450855297] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188119.475148593] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188124.496164946] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188129.518841820] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188134.540885110] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188139.563967782] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188144.584549906] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188149.609381059] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188154.635101283] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188159.657174267] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188164.678275342] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188169.700990397] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188174.722387257] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188179.745078406] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188184.775111260] [exp6_cnn_detection]: Camera timeout.
