[INFO] [1775689691.909037675] [exp6_cnn_detection]: Experiment 6 — CNN Target Recognition starting ...
[INFO] [1775689694.918723781] [exp6_cnn_detection]: 
  Condition: normal  Class: red_cube
[INFO] [1775689694.920480107] [exp6_cnn_detection]:     Set up red_cube at 0.5 m under "normal" lighting. Press Enter ...
[TRTDetector] Engine not found at /home/jetson/models/formica_target_det.trt. Using HSV colour-blob fallback.
[DataLogger] Writing to /home/jetson/formica_experiments/data/exp6_cnn_20260408_230811.csv
[WARN] [1775689699.950813346] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689704.997958014] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689710.048469202] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689715.097071150] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689720.147919074] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689725.202185439] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689730.252075730] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689735.301783207] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689740.352112491] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689745.401481611] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689750.452357046] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689755.503122534] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689760.555566342] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689765.606554058] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689770.659915994] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689775.709075959] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689780.759783099] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689785.807854448] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689790.857643693] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689795.908433729] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689800.956718009] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689806.006626557] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689811.057818774] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689816.108763150] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689821.159059988] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689826.207876225] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689831.258649276] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689836.307676459] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689841.357196940] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689846.402482829] [exp6_cnn_detection]: Camera timeout.
[INFO] [1775689846.424485286] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1775689846.426012725] [exp6_cnn_detection]:     Set up red_cube at 1.0 m under "normal" lighting. Press Enter ...
[WARN] [1775689851.454813182] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689856.504516637] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689861.555239947] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689866.608638868] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689871.662147544] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689876.713536290] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689881.762462522] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689886.811010260] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689891.858486304] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689896.907216264] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689901.964703770] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689907.018661349] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689912.070498222] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689917.122238518] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689922.173318107] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689927.224386278] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689932.276249687] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689937.325581850] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689942.374076095] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689947.423029149] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689952.476264344] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689957.527067429] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689962.580114175] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689967.629539189] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689972.679025908] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689977.730301010] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689982.778678763] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689987.829977824] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689992.879099819] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775689997.930682482] [exp6_cnn_detection]: Camera timeout.
[INFO] [1775689997.953627817] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1775689997.955119265] [exp6_cnn_detection]:     Set up red_cube at 1.5 m under "normal" lighting. Press Enter ...
[WARN] [1775690002.986159876] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690008.039059209] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690013.087213226] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690018.136387415] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690023.185065060] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690028.230532343] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690033.282532209] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690038.332628649] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690043.383842759] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690048.433181974] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690053.483479501] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690058.532212705] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690063.581357596] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690068.630778349] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690073.679875441] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690078.726962059] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690083.776620187] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690088.825061651] [exp6_cnn_detection]: Camera timeout.
