metric,trial,measured,ground_truth,error,unit,pass,notes
bringup_topic_presence,/scan,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/imu/data,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/odom,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/line_sensors,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/gas_sensor,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/rgb/image_raw,1.0,1.0,0.0,bool,True,
topic_hz,/scan,6.971192381540027,8.0,-1.0288076184599726,Hz,False,
topic_hz,/imu/data,101.16001997939473,50.0,51.16001997939473,Hz,True,
lidar_distance,0.50m,2.3610666275024412,0.5,1.8610666275024412,m,False,
lidar_distance,1.00m,2.359466632207235,1.0,1.3594666322072348,m,False,
lidar_distance,1.50m,2.3703999757766723,1.5,0.8703999757766723,m,False,
lidar_distance,2.00m,2.3682666460673016,2.0,0.36826664606730164,m,False,
lidar_rmse,all,1.2454853428007375,0.02,1.2254853428007375,m,False,
imu_bias_z,1000_samples,0.927711387146693,0.0,0.927711387146693,rad/s,False,
imu_drift_deg_per_min,1000_samples,3189.2368253839604,0.5,3188.7368253839604,deg/min,False,
odom_trial_error,1,2.094663715362554,2.0,4.73318576812769,%,False,
odom_trial_error,2,2.0895038057504234,2.0,4.475190287521169,%,False,
odom_trial_error,3,2.0776996648470707,2.0,3.8849832423535346,%,False,
odom_trial_error,4,2.0735563945854203,2.0,3.6778197292710146,%,False,
odom_trial_error,5,2.0921779028567045,2.0,4.608895142835223,%,False,
odom_trial_error,6,2.069915951605651,2.0,3.495797580282556,%,False,
odom_trial_error,7,2.087188804300986,2.0,4.359440215049304,%,False,
odom_trial_error,8,2.0838209701432753,2.0,4.191048507163764,%,False,
odom_trial_error,9,2.0760813795632487,2.0,3.8040689781624337,%,False,
odom_trial_error,10,2.0773992066038325,2.0,3.869960330191624,%,False,
odom_mean_error,all,4.110038978095831,2.0,2.1100389780958313,%,False,
odom_sd_error,all,0.42233212978858126,0.0,0.42233212978858126,%,True,
rgbd_reprojection_error,manual,0.3,0.5,-0.2,px,True,Measured by camera_calibration tool
tcrt_signal,5cm,671.7648643724846,0.0,671.7648643724846,adc,True,
tcrt_signal,10cm,624.9224635422831,0.0,624.9224635422831,adc,True,
tcrt_signal,15cm,653.8931836214932,0.0,653.8931836214932,adc,True,
tcrt_noise_std,ambient,71.29043699741176,0.0,71.29043699741176,adc,True,
tcrt_snr,all,19.200226984613458,6.0,13.200226984613458,dB,True,
