trial,landmark_id,gt_x,gt_y,est_x,est_y,error_m,coverage_pct
1,0,1.0,0.0,1.0496,0.0186,0.053,100.0
1,1,1.0,2.0,1.0968,2.0267,0.1004,96.12
1,2,0.0,2.0,0.0465,1.941,0.0751,98.65
1,3,2.0,2.0,1.9381,2.0519,0.0808,99.92
2,0,1.0,0.0,1.0342,0.0108,0.0358,98.16
2,1,1.0,2.0,1.079,2.041,0.089,98.45
2,2,0.0,2.0,0.0226,2.0028,0.0227,97.28
2,3,2.0,2.0,2.0546,1.9119,0.1037,96.22
3,0,1.0,0.0,0.9293,-0.0362,0.0794,99.41
3,1,1.0,2.0,1.0531,2.0477,0.0714,97.56
3,2,0.0,2.0,-0.024,2.057,0.0618,96.19
3,3,2.0,2.0,1.9926,1.9319,0.0684,97.18
4,0,1.0,0.0,1.0941,-0.0996,0.137,96.89
4,1,1.0,2.0,1.0385,2.0189,0.0428,99.06
4,2,0.0,2.0,0.0065,2.0782,0.0785,99.85
4,3,2.0,2.0,2.0491,1.9203,0.0936,96.5
5,0,1.0,0.0,1.0867,-0.0833,0.1203,99.84
5,1,1.0,2.0,1.0665,1.924,0.101,96.52
5,2,0.0,2.0,-0.0082,1.9818,0.02,99.48
5,3,2.0,2.0,1.9576,2.0752,0.0863,99.97
6,0,1.0,0.0,0.9022,0.0115,0.0984,99.42
6,1,1.0,2.0,0.9507,2.0155,0.0516,98.85
6,2,0.0,2.0,-0.0097,1.9658,0.0355,97.9
6,3,2.0,2.0,2.0342,1.9983,0.0342,96.21
7,0,1.0,0.0,1.0313,-0.0183,0.0363,95.27
7,1,1.0,2.0,1.0335,2.0841,0.0905,98.54
7,2,0.0,2.0,0.0418,1.9184,0.0916,95.24
7,3,2.0,2.0,2.073,2.0671,0.0991,99.49
8,0,1.0,0.0,1.023,-0.0889,0.0918,96.66
8,1,1.0,2.0,1.0994,1.9557,0.1088,95.77
8,2,0.0,2.0,-0.0785,2.015,0.0799,99.93
8,3,2.0,2.0,1.9166,2.0366,0.0911,95.26
9,0,1.0,0.0,1.049,0.0001,0.049,95.82
9,1,1.0,2.0,0.9311,1.9634,0.078,99.27
9,2,0.0,2.0,0.017,2.0522,0.0549,99.66
9,3,2.0,2.0,1.9194,2.042,0.0908,98.73
10,0,1.0,0.0,0.9681,0.0484,0.058,98.31
10,1,1.0,2.0,0.9325,1.9103,0.1123,97.17
10,2,0.0,2.0,-0.0818,2.0514,0.0966,95.97
10,3,2.0,2.0,1.9988,1.9436,0.0564,98.08
ALL,RMSE,-,-,-,-,0.0805,-
