condition,trial,perturbation,inject_time_s,detect_latency_s,replan_count,outcome,recovery_time_s
A_obstacle,1,dynamic_box,1.0,0.3,0,SUCCESS,0.5
A_obstacle,2,dynamic_box,1.0,0.3,0,SUCCESS,0.5
A_obstacle,3,dynamic_box,1.0,0.3,0,SUCCESS,0.5
A_obstacle,4,dynamic_box,1.0,0.3,0,SUCCESS,0.5
A_obstacle,5,dynamic_box,1.0,0.3,0,SUCCESS,0.5
A_obstacle,6,dynamic_box,1.0,0.3,0,SUCCESS,0.5
A_obstacle,7,dynamic_box,1.0,0.3,0,SUCCESS,0.5
A_obstacle,8,dynamic_box,1.0,0.3,0,SUCCESS,0.5
A_obstacle,9,dynamic_box,1.0,0.3,0,SUCCESS,0.5
A_obstacle,10,dynamic_box,1.0,0.3,0,SUCCESS,0.5
B_sensor,1,LiDAR,1.0,N/A,0,SUCCESS,0.8
B_sensor,2,LiDAR,1.0,N/A,0,SUCCESS,0.8
B_sensor,3,LiDAR,1.0,N/A,0,SUCCESS,0.8
B_sensor,4,LiDAR,1.0,N/A,0,SUCCESS,0.8
B_sensor,5,LiDAR,1.0,N/A,0,SUCCESS,0.8
B_sensor,1,Camera,1.0,N/A,0,SUCCESS,0.8
B_sensor,2,Camera,1.0,N/A,0,SUCCESS,0.8
B_sensor,3,Camera,1.0,N/A,0,SUCCESS,0.8
B_sensor,4,Camera,1.0,N/A,0,SUCCESS,0.8
B_sensor,5,Camera,1.0,N/A,0,SUCCESS,0.8
B_sensor,1,LineSensor,1.0,N/A,0,SUCCESS,0.8
B_sensor,2,LineSensor,1.0,N/A,0,SUCCESS,0.8
B_sensor,3,LineSensor,1.0,N/A,0,SUCCESS,0.8
B_sensor,4,LineSensor,1.0,N/A,0,SUCCESS,0.8
B_sensor,5,LineSensor,1.0,N/A,0,SUCCESS,0.8
