sub_exp,trial,trail_type,dist_m,lateral_dev_m,modality,snr_db,trail_lost_all_four,elapsed_s,led_pwm,s0,s1,s2,s3,gas_adc,ambient_pct,switchover_latency_s,continued_following_or_trail_any
A_straight,1,straight,0.0,0.0004,optical,44.58,False,0.02,,2600.2,2599.8,2600.2,2630.8,0.0,0.0,,
A_straight,1,straight,0.1,0.0006,optical,43.38,False,1.05,,2572.4,2599.8,2600.2,2614.5,0.0,0.0,,
A_straight,1,straight,0.2,0.0001,optical,46.19,False,2.1,,2574.2,2599.8,2600.2,2584.2,0.0,0.0,,
A_straight,1,straight,0.3,0.0004,optical,44.76,False,3.13,,2602.8,2599.8,2600.2,2571.1,0.0,0.0,,
A_straight,1,straight,0.4,0.0005,optical,44.23,False,4.18,,2626.9,2599.8,2600.2,2589.4,0.0,0.0,,
A_straight,1,straight,0.5,0.0001,optical,46.57,False,5.23,,2623.1,2599.8,2600.2,2618.9,0.0,0.0,,
A_straight,1,straight,0.6,0.0005,optical,44.2,False,6.28,,2596.3,2599.8,2600.2,2630.7,0.0,0.0,,
A_straight,1,straight,0.7,0.0006,optical,43.24,False,7.36,,2574.7,2599.8,2600.2,2618.2,0.0,0.0,,
A_straight,1,straight,0.8,0.0002,optical,45.97,False,8.4,,2572.8,2599.8,2600.2,2586.5,0.0,0.0,,
A_straight,1,straight,0.9,0.0004,optical,44.92,False,9.43,,2600.9,2599.8,2600.2,2570.9,0.0,0.0,,
A_straight,1,straight,1.0,0.0005,optical,44.22,False,10.46,,2626.8,2599.8,2600.2,2589.3,0.0,0.0,,
A_straight,1,straight,1.1,0.0,optical,46.58,False,11.49,,2621.4,2599.8,2600.2,2620.9,0.0,0.0,,
A_straight,1,straight,1.2,0.0005,optical,43.73,False,12.52,,2590.7,2599.8,2600.2,2629.6,0.0,0.0,,
A_straight,1,straight,1.3,0.0005,optical,43.97,False,13.56,,2569.6,2599.8,2600.2,2605.8,0.0,0.0,,
A_straight,1,straight,1.4,0.0001,optical,46.47,False,14.59,,2582.1,2599.8,2600.2,2576.2,0.0,0.0,,
A_straight,1,straight,1.5,0.0005,optical,44.01,False,15.62,,2614.4,2599.8,2600.2,2575.0,0.0,0.0,,
A_straight,1,straight,1.6,0.0003,optical,45.41,False,16.65,,2629.0,2599.8,2600.2,2603.7,0.0,0.0,,
A_straight,1,straight,1.7,0.0003,optical,45.6,False,17.68,,2609.4,2599.8,2600.2,2629.0,0.0,0.0,,
A_straight,1,straight,1.8,0.0006,optical,43.18,False,18.71,,2578.0,2599.8,2600.2,2622.1,0.0,0.0,,
A_straight,1,straight,1.9,0.0003,optical,45.11,False,19.76,,2569.8,2599.8,2600.2,2594.4,0.0,0.0,,
A_straight,1,straight,2.0,0.0002,optical,45.93,False,20.81,,2590.1,2599.8,2600.2,2572.3,0.0,0.0,,
A_straight,1,straight,2.1,0.0006,optical,43.9,False,21.87,,2618.5,2599.8,2600.2,2577.9,0.0,0.0,,
A_straight,1,straight,2.2,0.0003,optical,45.53,False,22.92,,2628.9,2599.8,2600.2,2605.0,0.0,0.0,,
A_straight,1,straight,2.3,0.0002,optical,45.8,False,23.97,,2611.2,2599.8,2600.2,2628.3,0.0,0.0,,
A_straight,1,straight,2.4,0.0005,optical,43.91,False,25.11,,2593.0,2599.8,2600.2,2630.2,0.0,0.0,,
A_straight,1,straight,2.5,0.0005,optical,43.63,False,26.15,,2570.6,2599.8,2600.2,2610.2,0.0,0.0,,
A_straight,1,straight,2.6,0.0001,optical,46.44,False,27.2,,2576.8,2599.8,2600.2,2580.9,0.0,0.0,,
A_straight,1,straight,2.7,0.0005,optical,44.57,False,28.25,,2605.2,2599.8,2600.2,2571.5,0.0,0.0,,
A_straight,1,straight,2.8,0.0005,optical,44.36,False,29.3,,2627.6,2599.8,2600.2,2591.4,0.0,0.0,,
A_straight,1,straight,2.9,0.0,optical,46.58,False,30.34,,2621.1,2599.8,2600.2,2621.3,0.0,0.0,,
A_straight,1,straight,3.0,0.0005,optical,43.67,False,31.37,,2589.9,2599.8,2600.2,2629.4,0.0,0.0,,
A_straight,2,straight,0.0,0.0003,optical,45.89,False,0.02,,2627.9,2599.6,2600.4,2606.5,0.0,0.0,,
A_straight,2,straight,0.1,0.0003,optical,44.98,False,1.05,,2605.7,2599.6,2600.4,2630.8,0.0,0.0,,
A_straight,2,straight,0.2,0.0006,optical,42.86,False,2.08,,2575.9,2599.6,2600.4,2621.7,0.0,0.0,,
A_straight,2,straight,0.3,0.0003,optical,45.08,False,3.14,,2569.6,2599.6,2600.4,2593.0,0.0,0.0,,
A_straight,2,straight,0.4,0.0002,optical,46.19,False,4.2,,2589.2,2599.6,2600.4,2573.1,0.0,0.0,,
A_straight,2,straight,0.5,0.0005,optical,44.26,False,5.24,,2618.8,2599.6,2600.4,2579.8,0.0,0.0,,
A_straight,2,straight,0.6,0.0003,optical,46.01,False,6.3,,2627.7,2599.6,2600.4,2607.8,0.0,0.0,,
A_straight,2,straight,0.7,0.0003,optical,45.39,False,7.35,,2609.0,2599.6,2600.4,2629.7,0.0,0.0,,
A_straight,2,straight,0.8,0.0006,optical,42.88,False,8.4,,2579.6,2599.6,2600.4,2625.2,0.0,0.0,,
A_straight,2,straight,0.9,0.0005,optical,43.74,False,9.5,,2568.5,2599.6,2600.4,2605.5,0.0,0.0,,
A_straight,2,straight,1.0,0.0,optical,46.52,False,10.56,,2578.6,2599.6,2600.4,2579.1,0.0,0.0,,
A_straight,2,straight,1.1,0.0005,optical,44.61,False,11.6,,2609.1,2599.6,2600.4,2573.7,0.0,0.0,,
A_straight,2,straight,1.2,0.0004,optical,45.15,False,12.64,,2628.1,2599.6,2600.4,2598.0,0.0,0.0,,
A_straight,2,straight,1.3,0.0002,optical,46.05,False,13.68,,2614.5,2599.6,2600.4,2627.0,0.0,0.0,,
A_straight,2,straight,1.4,0.0006,optical,42.96,False,14.7,,2582.2,2599.6,2600.4,2627.0,0.0,0.0,,
A_straight,2,straight,1.5,0.0004,optical,44.56,False,15.73,,2568.6,2599.6,2600.4,2597.4,0.0,0.0,,
A_straight,2,straight,1.6,0.0002,optical,46.15,False,16.76,,2589.7,2599.6,2600.4,2573.0,0.0,0.0,,
A_straight,2,straight,1.7,0.0005,optical,44.27,False,17.79,,2620.7,2599.6,2600.4,2581.8,0.0,0.0,,
A_straight,2,straight,1.8,0.0002,optical,46.39,False,18.83,,2626.2,2599.6,2600.4,2612.8,0.0,0.0,,
A_straight,2,straight,1.9,0.0004,optical,44.48,False,19.87,,2601.3,2599.6,2600.4,2631.6,0.0,0.0,,
A_straight,2,straight,2.0,0.0006,optical,42.94,False,20.9,,2573.2,2599.6,2600.4,2618.2,0.0,0.0,,
A_straight,2,straight,2.1,0.0002,optical,45.65,False,21.95,,2571.4,2599.6,2600.4,2588.3,0.0,0.0,,
A_straight,2,straight,2.2,0.0003,optical,45.6,False,23.0,,2596.3,2599.6,2600.4,2571.8,0.0,0.0,,
A_straight,2,straight,2.3,0.0005,optical,44.31,False,24.06,,2622.3,2599.6,2600.4,2583.7,0.0,0.0,,
A_straight,2,straight,2.4,0.0002,optical,46.4,False,25.11,,2626.1,2599.6,2600.4,2612.9,0.0,0.0,,
A_straight,2,straight,2.5,0.0004,optical,44.64,False,26.16,,2602.8,2599.6,2600.4,2631.4,0.0,0.0,,
A_straight,2,straight,2.6,0.0006,optical,42.88,False,27.2,,2574.6,2599.6,2600.4,2620.1,0.0,0.0,,
A_straight,2,straight,2.7,0.0002,optical,45.69,False,28.23,,2571.6,2599.6,2600.4,2588.0,0.0,0.0,,
A_straight,2,straight,2.8,0.0004,optical,45.39,False,29.27,,2598.7,2599.6,2600.4,2571.7,0.0,0.0,,
A_straight,2,straight,2.9,0.0005,optical,44.53,False,30.3,,2625.5,2599.6,2600.4,2589.0,0.0,0.0,,
A_straight,2,straight,3.0,0.0,optical,46.62,False,31.34,,2622.1,2599.6,2600.4,2619.9,0.0,0.0,,
A_straight,3,straight,0.0,0.0005,optical,44.82,False,0.02,,2611.4,2599.4,2600.6,2576.0,0.0,0.0,,
A_straight,3,straight,0.1,0.0003,optical,46.05,False,1.04,,2627.3,2599.4,2600.6,2605.6,0.0,0.0,,
A_straight,3,straight,0.2,0.0003,optical,45.4,False,2.09,,2610.2,2599.4,2600.6,2629.7,0.0,0.0,,
A_straight,3,straight,0.3,0.0006,optical,42.61,False,3.14,,2580.6,2599.4,2600.6,2627.4,0.0,0.0,,
A_straight,3,straight,0.4,0.0004,optical,44.24,False,4.17,,2567.7,2599.4,2600.6,2598.4,0.0,0.0,,
A_straight,3,straight,0.5,0.0002,optical,46.44,False,5.21,,2588.1,2599.4,2600.6,2574.1,0.0,0.0,,
A_straight,3,straight,0.6,0.0005,optical,44.65,False,6.25,,2618.1,2599.4,2600.6,2580.8,0.0,0.0,,
A_straight,3,straight,0.7,0.0002,optical,46.42,False,7.29,,2626.3,2599.4,2600.6,2610.6,0.0,0.0,,
A_straight,3,straight,0.8,0.0004,optical,44.73,False,8.34,,2605.1,2599.4,2600.6,2631.6,0.0,0.0,,
A_straight,3,straight,0.9,0.0007,optical,42.53,False,9.38,,2575.7,2599.4,2600.6,2623.2,0.0,0.0,,
A_straight,3,straight,1.0,0.0004,optical,44.75,False,10.43,,2568.6,2599.4,2600.6,2594.2,0.0,0.0,,
A_straight,3,straight,1.1,0.0002,optical,46.4,False,11.49,,2588.7,2599.4,2600.6,2573.9,0.0,0.0,,
A_straight,3,straight,1.2,0.0005,optical,44.66,False,12.54,,2616.8,2599.4,2600.6,2579.7,0.0,0.0,,
A_straight,3,straight,1.3,0.0003,optical,46.11,False,13.6,,2627.2,2599.4,2600.6,2606.3,0.0,0.0,,
A_straight,3,straight,1.4,0.0003,optical,44.89,False,14.63,,2606.4,2599.4,2600.6,2631.2,0.0,0.0,,
A_straight,3,straight,1.5,0.0007,optical,42.54,False,15.66,,2575.0,2599.4,2600.6,2622.5,0.0,0.0,,
A_straight,3,straight,1.6,0.0003,optical,45.28,False,16.68,,2570.1,2599.4,2600.6,2590.2,0.0,0.0,,
A_straight,3,straight,1.7,0.0003,optical,45.78,False,17.71,,2597.2,2599.4,2600.6,2572.6,0.0,0.0,,
A_straight,3,straight,1.8,0.0005,optical,44.91,False,18.74,,2624.6,2599.4,2600.6,2589.8,0.0,0.0,,
A_straight,3,straight,1.9,0.0,optical,46.54,False,19.76,,2619.8,2599.4,2600.6,2622.6,0.0,0.0,,
A_straight,3,straight,2.0,0.0006,optical,43.02,False,20.79,,2588.2,2599.4,2600.6,2631.1,0.0,0.0,,
A_straight,3,straight,2.1,0.0005,optical,43.44,False,21.82,,2567.6,2599.4,2600.6,2606.2,0.0,0.0,,
A_straight,3,straight,2.2,0.0001,optical,46.62,False,22.85,,2581.6,2599.4,2600.6,2577.1,0.0,0.0,,
A_straight,3,straight,2.3,0.0005,optical,44.72,False,23.88,,2613.9,2599.4,2600.6,2577.5,0.0,0.0,,
A_straight,3,straight,2.4,0.0003,optical,45.79,False,24.94,,2627.4,2599.4,2600.6,2602.3,0.0,0.0,,
A_straight,3,straight,2.5,0.0002,optical,45.75,False,25.99,,2612.8,2599.4,2600.6,2628.3,0.0,0.0,,
A_straight,3,straight,2.6,0.0006,optical,42.67,False,27.03,,2582.0,2599.4,2600.6,2628.3,0.0,0.0,,
A_straight,3,straight,2.7,0.0005,optical,43.72,False,28.08,,2567.4,2599.4,2600.6,2603.2,0.0,0.0,,
A_straight,3,straight,2.8,0.0001,optical,46.62,False,29.13,,2582.4,2599.4,2600.6,2576.6,0.0,0.0,,
A_straight,3,straight,2.9,0.0005,optical,44.74,False,30.16,,2613.6,2599.4,2600.6,2577.3,0.0,0.0,,
A_straight,3,straight,3.0,0.0003,optical,46.03,False,31.2,,2627.3,2599.4,2600.6,2605.2,0.0,0.0,,
A_straight,4,straight,0.0,0.0003,optical,46.26,False,0.02,,2594.4,2599.1,2600.9,2573.5,0.0,0.0,,
A_straight,4,straight,0.1,0.0004,optical,45.32,False,1.03,,2623.9,2599.1,2600.9,2591.0,0.0,0.0,,
A_straight,4,straight,0.2,0.0,optical,46.71,False,2.09,,2621.4,2599.1,2600.9,2620.2,0.0,0.0,,
A_straight,4,straight,0.3,0.0005,optical,43.5,False,3.15,,2596.4,2599.1,2600.9,2633.4,0.0,0.0,,
A_straight,4,straight,0.4,0.0007,optical,42.38,False,4.19,,2570.4,2599.1,2600.9,2618.0,0.0,0.0,,
A_straight,4,straight,0.5,0.0002,optical,45.56,False,5.23,,2571.3,2599.1,2600.9,2587.3,0.0,0.0,,
A_straight,4,straight,0.6,0.0003,optical,45.98,False,6.28,,2598.3,2599.1,2600.9,2573.5,0.0,0.0,,
A_straight,4,straight,0.7,0.0004,optical,45.25,False,7.33,,2623.2,2599.1,2600.9,2589.6,0.0,0.0,,
A_straight,4,straight,0.8,0.0,optical,46.68,False,8.37,,2621.0,2599.1,2600.9,2620.8,0.0,0.0,,
