wall_time_iso,elapsed_s,phase,mq2_raw,mq135_raw,ultrasonic_cm,raw_line
2026-03-30T19:13:06.081109+00:00,0.001,baseline,187,434,4,"s,187,434,0,4"
2026-03-30T19:13:06.331555+00:00,0.251,baseline,187,434,4,"s,187,434,0,4"
2026-03-30T19:13:06.581781+00:00,0.501,baseline,187,434,4,"s,187,434,0,4"
2026-03-30T19:13:06.832178+00:00,0.752,baseline,187,434,4,"s,187,434,0,4"
2026-03-30T19:13:07.082657+00:00,1.002,baseline,187,434,4,"s,187,434,0,4"
2026-03-30T19:13:07.332897+00:00,1.252,baseline,187,434,4,"s,187,434,0,4"
2026-03-30T19:13:07.583085+00:00,1.503,baseline,187,434,4,"s,187,434,0,4"
2026-03-30T19:13:07.833398+00:00,1.753,baseline,187,433,4,"s,187,433,0,4"
2026-03-30T19:13:08.083893+00:00,2.003,baseline,187,433,4,"s,187,433,0,4"
2026-03-30T19:13:08.334178+00:00,2.253,baseline,187,432,4,"s,187,432,0,4"
2026-03-30T19:13:08.584375+00:00,2.504,baseline,187,432,4,"s,187,432,0,4"
2026-03-30T19:13:08.834735+00:00,2.754,baseline,186,432,4,"s,186,432,0,4"
2026-03-30T19:13:09.085023+00:00,3.004,baseline,186,432,4,"s,186,432,0,4"
2026-03-30T19:13:09.335363+00:00,3.255,baseline,187,432,4,"s,187,432,0,4"
2026-03-30T19:13:09.585624+00:00,3.505,baseline,186,432,4,"s,186,432,0,4"
2026-03-30T19:13:09.836034+00:00,3.755,baseline,187,432,4,"s,187,432,0,4"
2026-03-30T19:13:10.086300+00:00,4.006,baseline,186,432,4,"s,186,432,0,4"
2026-03-30T19:13:10.336884+00:00,4.256,baseline,187,433,4,"s,187,433,0,4"
2026-03-30T19:13:10.586984+00:00,4.506,baseline,186,432,4,"s,186,432,0,4"
2026-03-30T19:13:10.837343+00:00,4.757,baseline,186,432,4,"s,186,432,0,4"
2026-03-30T19:13:11.087954+00:00,5.007,baseline,186,432,4,"s,186,432,0,4"
2026-03-30T19:13:11.338274+00:00,5.257,baseline,186,432,4,"s,186,432,0,4"
2026-03-30T19:13:11.588495+00:00,5.508,baseline,186,432,4,"s,186,432,0,4"
2026-03-30T19:13:11.839057+00:00,5.758,baseline,187,431,4,"s,187,431,0,4"
2026-03-30T19:13:12.089344+00:00,6.008,baseline,186,431,4,"s,186,431,0,4"
2026-03-30T19:13:12.339762+00:00,6.259,baseline,186,431,4,"s,186,431,0,4"
2026-03-30T19:13:12.590219+00:00,6.509,baseline,186,431,4,"s,186,431,0,4"
2026-03-30T19:13:12.840119+00:00,6.760,baseline,186,431,4,"s,186,431,0,4"
2026-03-30T19:13:13.090655+00:00,7.010,baseline,186,431,4,"s,186,431,0,4"
2026-03-30T19:13:13.340818+00:00,7.260,baseline,186,430,4,"s,186,430,0,4"
2026-03-30T19:13:13.591236+00:00,7.511,baseline,186,430,4,"s,186,430,0,4"
2026-03-30T19:13:13.841433+00:00,7.761,baseline,186,430,4,"s,186,430,0,4"
2026-03-30T19:13:14.091666+00:00,8.011,baseline,186,429,4,"s,186,429,0,4"
2026-03-30T19:13:14.342188+00:00,8.261,baseline,186,429,4,"s,186,429,0,4"
2026-03-30T19:13:14.592359+00:00,8.512,baseline,186,429,4,"s,186,429,0,4"
2026-03-30T19:13:14.842595+00:00,8.762,baseline,186,429,4,"s,186,429,0,4"
2026-03-30T19:13:15.092969+00:00,9.012,baseline,185,429,4,"s,185,429,0,4"
2026-03-30T19:13:15.343360+00:00,9.263,baseline,186,429,4,"s,186,429,0,4"
2026-03-30T19:13:15.593765+00:00,9.513,baseline,186,428,4,"s,186,428,0,4"
2026-03-30T19:13:15.843916+00:00,9.763,baseline,185,428,4,"s,185,428,0,4"
